CustomerID,CustomerName,Email,Phone
1,Customer 1,customer1@example.com,+1 555-994-1767
2,Customer 2,customer2@example.com,+1 555-192-8274
3,Customer 3,customer3@example.com,+1 555-683-4757
4,Customer 4,customer4@example.com,+1 555-385-7173
5,Customer 5,customer5@example.com,+1 555-478-2211
6,Customer 6,customer6@example.com,+1 555-284-2224
7,Customer 7,customer7@example.com,+1 555-116-4814
8,Customer 8,customer8@example.com,+1 555-757-1171
9,Customer 9,customer9@example.com,+1 555-967-4860
10,Customer 10,customer10@example.com,+1 555-746-5427
11,Customer 11,customer11@example.com,+1 555-343-2980
12,Customer 12,customer12@example.com,+1 555-225-6891
13,Customer 13,customer13@example.com,+1 555-873-7581
14,Customer 14,customer14@example.com,+1 555-458-7499
15,Customer 15,customer15@example.com,+1 555-349-4534
16,Customer 16,customer16@example.com,+1 555-645-5777
17,Customer 17,customer17@example.com,+1 555-253-8960
18,Customer 18,customer18@example.com,+1 555-454-7509
19,Customer 19,customer19@example.com,+1 555-199-2089
20,Customer 20,customer20@example.com,+1 555-134-6533
21,Customer 21,customer21@example.com,+1 555-333-8655
22,Customer 22,customer22@example.com,+1 555-181-6689
23,Customer 23,customer23@example.com,+1 555-697-4802
24,Customer 24,customer24@example.com,+1 555-614-2441
25,Customer 25,customer25@example.com,+1 555-710-7323
26,Customer 26,customer26@example.com,+1 555-753-9678
27,Customer 27,customer27@example.com,+1 555-417-2257
28,Customer 28,customer28@example.com,+1 555-930-3659
29,Customer 29,customer29@example.com,+1 555-909-4801
30,Customer 30,customer30@example.com,+1 555-802-4448
