Date,Product,Customer,Quantity,Price,TotalPrice
Briana Griffin
Stephanie Bradford
Daniel Baker
Melissa Schwartz
Megan Gonzalez
Steven Payne
Sandy Green
Steven Brennan
Rhonda Preston
Paul Reed
Scott Quinn
Michael Lee
Daniel Carr
Elizabeth Francis
Julie Anderson
Deanna Phillips
Gabrielle Weaver
Jeremiah Rogers
Brian Frost
Laura Matthews
Amber Ellis
Amber Scott
Jill Munoz
Ian Clark
Ernest Medina
Sean Ramirez
Justin Rivera
Carla Aguilar
James White
Earl Walker
Xavier White DDS
Sharon Beard
Vicki Wells
David Thomas
Jeffrey Reyes
Jordan Duncan
Susan Nichols
Sarah Bradford
Dawn Rodriguez
Jessica Pham
Troy Silva
Jeffrey Baker
Ariana Brown
Shannon Williams
Steven Hall
Robert Robles
Jacob Brown
Adrian Herrera
Jerry Webb
Emily Thomas
Katie Ramirez
Matthew Harris
Kelly Welch
Mary Mitchell
Ronald Mendez
Richard Russell
Katherine Joyce
Brian Turner
Douglas Rogers
Richard Mccarty
Tyler Collins
Shannon Wilson
Joseph Deleon
Melinda Webb
Lauren Romero
Alan Williams
Samuel Maldonado
Frank Lee
Linda Hobbs
David Joseph
Donna Simon
Judy Myers
Joseph Johnson
Timothy Hill
Sara Cook
Douglas Joseph
Brandi Cabrera
Kenneth Smith
Joseph Gillespie
Angela Yu
Shelly Smith
Crystal Guerra
Anthony Morris
Jean Gould
Mary Bonilla
John Reed
Brandon Clay
Gabriel Stuart II
Sarah Scott
Nicole Miller
Michelle Stone
Roger Watts
Thomas Leonard
Kelly Hansen
Heather Townsend
Christopher Gutierrez
Benjamin Knight
Patrick Mayo
David Rodriguez
Alexander Ryan
